x,y,f
-54.6141,87.2622,-4765.75
65.407,-51.3488,-3358.57
92.2603,17.1684,1583.96
90.3701,-60.1706,-5437.63
69.5664,22.0205,1531.89
81.8914,-79.6507,-6522.71
39.1102,32.1955,1259.17
30.9275,-39.4959,-1221.51
-79.3305,-17.1196,1358.1
80.8865,88.9896,7198.06
-88.3887,14.7612,-1304.73
30.8223,86.6018,2669.27
-86.4079,99.2941,-8579.79
92.7018,76.0488,7049.86
63.9855,-70.0027,-4479.15
-63.2326,-78.5254,4965.37
96.4569,-43.9418,-4238.49
-96.5145,-72.6751,7014.21
-38.5234,-85.5078,3294.05
-98.1212,-61.4262,6027.21
-22.117,-30.3645,671.573
63.2631,27.6031,1746.26
10.0108,76.4117,764.945
38.4417,-17.6291,-677.693
73.9024,51.5238,3807.73
78.8016,-43.6784,-3441.93
-93.3525,71.6851,-6691.99
64.2515,-56.051,-3601.36
-59.6859,13.2642,-791.689
-83.2491,-1.48411,123.551
53.5199,85.2424,4562.16
40.285,91.2711,3676.85
79.8041,-53.9502,-4305.45
79.1908,90.1621,7140.01
56.431,-10.7581,-607.093
-11.3969,3.59692,-40.9937
47.6877,-9.89847,-472.036
96.3582,-28.3606,-2732.78
-14.4821,78.9092,-1142.77
33.8194,-88.8147,-3003.66
73.5096,50.4111,3705.7
-46.2807,-49.4384,2288.04
-24.5271,-17.6214,432.203
10.7367,58.2603,625.524
-76.1194,-49.0707,3735.23
70.3478,89.7072,6310.7
77.1781,-6.66763,-514.595
3.53673,-67.8395,-239.93
1.73365,-74.5157,-129.184
25.3647,-49.2293,-1248.69
-76.9407,-25.5228,1963.75
-68.0993,88.1606,-6003.67
-23.0918,-27.7316,640.371
76.1663,-15.3227,-1167.07
90.084,-30.7229,-2767.64
69.0947,-75.3557,-5206.68
-42.5063,71.1493,-3024.3
34.2803,-57.0532,-1955.8
-92.3508,22.8545,-2110.63
3.48023,13.9344,48.4949
-88.5639,55.8039,-4942.21
2.04367,-50.2219,-102.637
-74.1993,50.2412,-3727.86
5.63567,-88.5573,-499.08
0.646552,0.629366,0.406918
24.4293,-66.8441,-1632.96
-76.7989,-14.3912,1105.23
59.2937,-18.0789,-1071.96
-19.9969,-20.837,416.676
-64.7695,-75.3053,4877.49
-46.0728,0.307324,-14.1593
97.8905,65.8566,6446.74
-61.906,7.69456,-476.34
-93.6708,61.4637,-5757.35
12.6342,81.8389,1033.97
61.3292,-4.21702,-258.627
-5.56786,-78.9078,439.348
-72.9022,-79.7467,5813.71
49.9228,71.507,3569.83
-47.2264,14.8899,-703.197
-46.2397,-9.62149,444.895
-12.482,86.7725,-1083.1
77.0853,-98.888,-7622.81
41.1985,-17.0998,-704.488
88.261,15.4638,1364.85
-71.1535,-98.8591,7034.18
-39.5595,-95.4634,3776.48
8.59726,-7.4797,-64.305
-68.6516,-62.9346,4320.56
26.6441,-91.4053,-2435.42
92.5663,37.3082,3453.48
-48.0728,44.7683,-2152.14
-59.5087,-94.145,5602.45
-97.5116,-44.7128,4360.01
27.1514,-19.8197,-538.134
57.0458,33.5622,1914.58
-7.83174,-53.2185,416.793
35.8336,-18.615,-667.044
40.5586,-54.6138,-2215.06
-74.9589,-43.1886,3237.37
-15.0167,57.1143,-857.668
27.4493,66.2231,1817.78
82.1812,55.1513,4532.4
96.4809,89.5062,8635.64
0.280834,-88.0301,-24.7219
78.0321,97.7944,7631.11
67.9648,75.0907,5103.53
49.9789,85.3241,4264.41
-69.6823,36.7387,-2560.03
87.8001,-21.4727,-1885.31
15.4366,-41.8766,-646.431
13.606,-56.455,-768.127
10.8525,-73.3885,-796.447
-42.5815,35.2735,-1502
69.2883,-68.3929,-4738.83
-26.2284,-55.81,1463.8
-46.1927,22.6731,-1047.33
-23.8666,20.032,-478.094
-34.5482,-43.0309,1486.64
-41.7354,52.77,-2202.38
61.8992,-74.2903,-4598.51
89.4703,-80.8438,-7233.13
54.8184,-75.8591,-4158.47
-74.2553,-31.2822,2322.87
96.8662,43.8478,4247.37
-50.7842,-32.6411,1657.65
-7.2177,-10.5524,76.1642
-42.9131,-45.5702,1955.56
-1.60033,-6.51378,10.4242
-49.8515,-21.2435,1059.02
39.6533,12.5953,499.444
-37.5034,41.2695,-1547.75
17.8666,78.6957,1406.03
80.8984,99.4104,8042.14
-32.0529,-23.4041,750.169
-98.2908,-96.198,9455.38
22.9828,26.6341,612.127
64.2175,-40.6019,-2607.35
-88.3741,-94.1815,8323.21
-45.454,54.0374,-2456.21
3.88075,69.4363,269.465
-95.1334,86.5369,-8232.55
43.6442,39.7083,1733.03
-81.9188,-12.8292,1050.95
-79.6163,-31.8373,2534.77
-61.4677,69.5165,-4273.01
-98.694,-35.4947,3503.12
21.6908,73.1533,1586.76
-12.013,-22.8407,274.385
-80.0477,-9.79036,783.696
-28.2672,19.73,-557.712
-93.5833,62.2053,-5821.38
-17.1347,-80.9234,1386.6
-84.9753,20.5389,-1745.29
-20.8326,83.5621,-1740.82
-54.525,-46.5446,2537.85
-66.7696,-88.1533,5885.97
63.8614,-4.63386,-295.925
-76.9273,23.2579,-1789.17
-56.3086,90.3235,-5085.99
35.3423,69.3409,2450.66
-72.4434,64.9848,-4707.72
97.9357,6.78644,664.635
11.2355,74.5797,837.941
69.4344,-57.0803,-3963.34
-66.9469,-89.7121,6005.95
-56.3641,-85.8927,4841.27
-23.2015,-15.3615,356.409
-85.9564,61.8938,-5320.17
-14.6386,64.7359,-947.642
70.8283,68.2476,4833.87
0.0177575,-23.8723,-0.423914
37.4993,-68.8294,-2581.06
21.5455,51.2976,1105.23
57.7105,-40.305,-2326.02
-73.6178,55.1524,-4060.2
-24.712,67.0432,-1656.77
41.614,-94.7978,-3944.92
13.5388,51.418,696.137
17.7322,16.9715,300.942
-54.3593,-71.91,3908.98
20.57,17.0398,350.509
81.1325,5.66381,459.519
-42.5619,-35.8684,1526.63
-53.0606,30.8407,-1636.43
-83.0099,-79.757,6620.62
-24.9734,-12.3977,309.613
33.159,75.9373,2518
69.4321,92.9341,6452.61
-62.7781,-83.2011,5223.2
-23.1238,-94.4979,2185.15
5.08206,-57.2663,-291.031
13.0463,38.0267,496.106
87.195,88.6297,7728.07
-16.8679,-60.2152,1015.7
-64.141,-64.6465,4146.49
17.3701,64.3469,1117.71
-45.5288,75.4665,-3435.9
91.8234,-73.8121,-6777.68
27.6999,-85.6139,-2371.5
-56.146,44.3788,-2491.69
-40.8823,-0.855125,34.9595
-12.1891,42.036,-512.381
94.956,-15.1021,-1434.03
64.9232,85.7886,5569.67
-24.1772,-64.4615,1558.5
47.1454,20.8888,984.81
-10.9626,53.3866,-585.256
-91.4369,92.3957,-8448.38
-64.0706,27.8119,-1781.93
46.5534,-37.8905,-1763.93
-64.6614,86.2315,-5575.85
-54.3513,75.7305,-4116.05
-91.7293,-39.3993,3614.07
-1.96879,-91.9516,181.033
77.5026,79.337,6148.82
-61.8963,-28.0958,1739.03
-45.2458,65.8384,-2978.91
-69.0344,35.8609,-2475.64
56.3147,-48.8494,-2750.94
13.0761,-25.0244,-327.223
92.0146,16.2567,1495.85
-68.6489,25.9137,-1778.95
-6.59828,-34.5774,228.151
-37.8135,67.8277,-2564.8
6.48567,34.7015,225.062
30.4599,78.5221,2391.78
1.91959,-97.4219,-187.01
20.5325,14.9664,307.297
90.3205,16.2303,1465.93
-46.84,-25.6147,1199.79
-5.34002,98.9752,-528.529
-3.34133,-29.25,97.7339
-59.3337,5.94613,-352.806
83.4466,-20.6869,-1726.25
68.8625,-8.88502,-611.845
82.5283,42.8851,3539.23
-17.9962,2.68001,-48.23
-78.6004,-59.3513,4665.03
-80.4756,20.7939,-1673.4
58.9091,22.5772,1330.01
-75.2258,48.1769,-3624.15
15.529,75.5311,1172.92
-31.6902,86.8474,-2752.21
52.2406,7.65695,400.004
31.8964,-47.039,-1500.38
-41.9727,-70.9139,2976.45
-73.6381,25.8128,-1900.8
84.82,-48.0327,-4074.14
-11.6332,-66.7679,776.727
-68.5411,60.5489,-4150.09
10.8105,-17.7855,-192.27
-86.8886,78.7528,-6842.72
-68.2309,-16.7711,1144.31
21.3773,-5.36209,-114.627
77.4775,-16.1281,-1249.56
0.675327,-1.36859,-0.924243
78.0404,22.5061,1756.39
-96.0964,1.0003,-96.1256
-49.5081,-40.5279,2006.46
-59.7414,-17.0431,1018.18
-91.3787,49.4301,-4516.86
41.3856,3.79405,157.019
-39.3969,-78.5913,3096.26
-91.4765,13.3738,-1223.39
-56.8219,-81.4288,4626.94
77.8285,72.5979,5650.18
19.8783,79.4873,1580.08
5.07569,-5.60744,-28.4616
-52.0149,32.4211,-1686.38
-45.6651,22.3127,-1018.91
-27.28,88.1268,-2404.1
-98.5717,85.5833,-8436.1
42.0249,68.5716,2881.72
-37.1198,-72.0352,2673.93
28.9183,-5.44308,-157.404
-29.7772,-54.0411,1609.19
-68.6719,-52.4833,3604.13
68.2356,-74.7672,-5101.79
61.9198,46.6621,2889.31
66.9626,6.70639,449.078
-20.9961,-67.9309,1426.28
47.6342,-27.0159,-1286.88
-81.1567,72.8887,-5915.41
-11.4536,91.3734,-1046.55
20.4961,15.6668,321.109
-5.10614,30.1403,-153.901
22.988,69.2588,1592.12
-2.49558,7.75829,-19.3614
14.9259,-77.647,-1158.95
33.3536,5.10047,170.119
-49.0394,-2.33036,114.28
-27.1688,-75.1785,2042.51
-87.0728,-76.8875,6694.8
83.5614,-92.5153,-7730.71
36.8772,23.0706,850.777
53.7166,61.515,3304.38
94.6453,49.3205,4667.96
-66.6538,-13.6569,910.284
-59.1882,-48.2042,2853.12
25.7452,60.6259,1560.83
39.8351,-4.97269,-198.088
29.918,-16.9406,-506.83
25.7326,-99.2737,-2554.57
42.8361,-52.3838,-2243.92
-59.2263,-94.9258,5622.11
63.3549,-99.2409,-6287.4
47.5903,-94.572,-4500.71
77.9493,-56.8416,-4430.76
-66.6406,99.0358,-6599.81
84.0945,-25.9638,-2183.41
72.113,-2.5289,-182.367
78.1236,19.1767,1498.16
2.91201,-21.3754,-62.2455
-20.0485,76.6848,-1537.42
-74.475,-28.846,2148.31
66.226,-93.4667,-6189.92
-48.7708,-5.79907,282.826
-61.4114,-13.8198,848.694
60.2523,-30.0885,-1812.9
89.8346,8.1813,734.964
-78.2538,63.7203,-4986.36
52.6676,27.8809,1468.42
-70.7729,31.3476,-2218.56
57.8089,82.1743,4750.41
-73.0453,-47.685,3483.16
-27.7071,85.1582,-2359.49
-98.0321,43.7284,-4286.79
-55.5351,56.3854,-3131.37
96.429,-29.7214,-2866.01
87.5941,-85.6522,-7502.63
-58.0461,-92.631,5376.87
-23.3739,28.069,-656.081
-72.3213,-4.26795,308.664
-72.0206,-94.6357,6815.72
-69.7647,-94.1669,6569.52
96.4819,-78.378,-7562.06
-20.1175,-39.7634,799.942
-71.1262,-0.379364,26.9827
-44.4968,56.6338,-2520.02
-1.57135,36.94,-58.0457
-96.8974,-73.15,7088.05
-97.6798,-89.0985,8703.12
-81.0134,9.67345,-783.679
54.5734,5.771,314.943
-94.7364,-42.2169,3999.48
-15.5686,-66.4009,1033.77
43.1201,74.4928,3212.14
-74.262,52.7586,-3917.96
-20.1793,-33.3594,673.167
6.54594,19.0762,124.872
24.4919,6.86228,168.07
28.0329,0.00366314,0.102688
-2.93581,13.5199,-39.6919
-83.8499,94.5303,-7926.35
-25.8704,-77.182,1996.73
18.5926,-22.2364,-413.434
50.8216,37.4727,1904.42
-62.3721,-5.41356,337.655
6.86,40.819,280.018
-77.0543,-28.6542,2207.93
83.0647,-72.652,-6034.82
-99.8633,-58.7532,5867.29
44.1088,-79.7336,-3516.95
-3.68611,-76.1322,280.632
-59.8129,1.52852,-91.4252
-94.9184,-30.4345,2888.79
39.9119,86.0041,3432.59
-57.2419,-37.8707,2167.79
-78.0065,95.3219,-7435.73
49.8963,-12.1692,-607.198
-18.2214,-5.05356,92.0831
-60.7128,-20.8768,1267.49
-44.4593,31.2638,-1389.97
70.6258,-17.8528,-1260.87
-63.3735,40.1164,-2542.32
35.0873,-60.2168,-2112.85
-94.9164,50.0585,-4751.37
53.3274,98.0986,5231.34
-73.0948,17.0189,-1243.99
-31.0878,89.4309,-2780.21
-44.5564,-87.7491,3909.79
-0.699633,-40.9465,28.6476
-0.339266,-93.7774,31.8154
7.26077,-33.3608,-242.225
77.5427,-27.5882,-2139.26
1.19732,80.6876,96.6086
1.52592,-99.0204,-151.097
57.9632,40.2931,2335.52
-43.7955,62.8374,-2751.99
36.9001,-55.0944,-2032.99
-31.6207,-10.9762,347.075
39.5507,-67.3338,-2663.1
-23.1858,83.745,-1941.7
-88.4202,75.9448,-6715.06
-58.5682,-52.8956,3098
29.3467,81.7647,2399.53
-52.4064,10.7546,-563.608
-61.1353,97.9171,-5986.19
-10.967,12.2421,-134.258
70.6576,77.3752,5467.15
77.3123,43.6015,3370.93
-28.0346,84.814,-2377.73
-63.555,59.0129,-3750.57
46.1806,-94.4564,-4362.05
-64.6338,-30.555,1974.89
5.4791,-13.1919,-72.2797
94.6335,31.8622,3015.23
84.1854,-21.693,-1826.24
-57.1277,-58.0486,3316.18
-88.3498,84.9219,-7502.84
-20.2452,-69.2882,1402.75
63.3478,-5.40226,-342.222
-30.6761,-89.6627,2750.5
-48.134,25.4383,-1224.45
87.7004,18.0923,1586.71
-59.2646,14.7832,-876.119
-92.8339,-31.7471,2947.2
-52.0078,-49.3144,2564.74
77.4841,-42.4915,-3292.41
-88.1048,-17.2026,1515.63
-25.7222,-66.6137,1713.45
-70.1176,77.9489,-5465.59
-76.3716,42.0625,-3212.38
-91.8374,24.3224,-2233.71
20.0163,-84.8664,-1698.71
72.3438,56.4534,4084.05
-79.1986,-66.8847,5297.17
-93.5623,-62.9758,5892.16
-42.988,-75.7286,3255.42
12.0631,-74.5337,-899.11
51.4704,54.2361,2791.55
9.55682,-36.2328,-346.27
92.0903,-99.9236,-9202
88.6722,-17.4459,-1546.96
-80.3809,-52.6253,4230.07
63.1305,16.2096,1023.32
-79.5173,17.1406,-1362.97
-44.5881,-95.1085,4240.71
82.5326,-22.4264,-1850.91
74.792,24.6804,1845.9
-55.5008,66.9954,-3718.3
58.1284,98.5464,5728.34
-38.4644,21.3172,-819.954
-51.1759,-48.8043,2497.6
97.7438,-58.0477,-5673.8
75.3663,-39.0812,-2945.4
-42.456,-23.9264,1015.82
-75.134,-38.865,2920.09
-48.0934,-8.93886,429.9
75.4634,-19.8288,-1496.35
-12.9089,-39.4335,509.044
-76.1251,23.5103,-1789.73
-94.1742,-80.4388,7575.26
75.6051,38.5335,2913.33
-38.122,-28.0235,1068.31
-13.6137,-37.908,516.069
46.9768,-42.5766,-2000.11
54.6359,88.8651,4855.23
-50.7317,-51.9295,2634.47
-34.3675,91.4586,-3143.2
-19.7478,-16.4617,325.082
64.1628,83.8789,5381.91
-23.5288,-20.4817,481.91
-2.22004,46.5788,-103.407
-82.849,-19.8576,1645.18
9.68273,-76.8259,-743.885
-23.0215,-64.9988,1496.37
94.8937,-2.6098,-247.654
14.2346,-87.7273,-1248.77
28.6606,-91.9687,-2635.88
-38.1775,-97.662,3728.49
-41.8071,-18.1833,760.193
-49.55,54.6703,-2708.91
-6.09595,-58.2948,355.362
23.2247,-72.636,-1686.95
-47.4108,68.634,-3253.99
81.1961,88.58,7192.35
16.0793,94.6097,1521.26
75.3947,38.905,2933.23
-71.0391,35.4195,-2516.17
88.3054,78.7691,6955.74
41.7753,-59.1027,-2469.03
12.5327,-14.8411,-186
-57.5245,-28.2168,1623.16
-79.978,50.1405,-4010.14
93.9248,0.0443794,4.16832
47.3947,25.3202,1200.04
-40.3065,33.585,-1353.7
-34.3779,17.8428,-613.397
31.3367,-35.2493,-1104.6
0.777267,-81.3771,-63.2517
-41.2921,77.6259,-3205.34
53.8344,64.4053,3467.23
-84.2906,93.1437,-7851.13
-19.265,-44.1736,851.004
-34.3222,11.2127,-384.846
-22.1905,15.8448,-351.603
-14.3229,40.1956,-575.72
-6.43021,45.1032,-290.023
-19.0491,-59.8485,1140.06
87.2624,74.8195,6528.92
-62.9876,38.4657,-2422.86
10.8465,36.5133,396.041
72.5949,84.1978,6112.33
31.0851,-2.87658,-89.4189
-20.4432,87.378,-1786.29
69.1816,-89.4619,-6189.12
-76.7131,-5.11594,392.46
18.0775,-98.1062,-1773.52
-92.7098,69.1983,-6415.36
90.9731,-65.4491,-5954.11
-61.0794,24.9378,-1523.18
92.6876,-63.2368,-5861.27
-83.9969,-33.5728,2820.01
7.91016,-85.3489,-675.124
41.5125,-15.0538,-624.92
22.358,24.8285,555.114
-83.9014,-62.5328,5246.59
-46.7115,55.0844,-2573.07
-71.8915,8.25688,-593.6
83.8685,72.5275,6082.77
-22.9754,5.34326,-122.764
31.8095,-67.883,-2159.32
-9.38988,19.0749,-179.111
-26.0168,-0.533988,13.8927
-68.4791,66.2894,-4539.44
17.9227,-78.2918,-1403.2
18.3889,-71.5691,-1316.08
-64.0699,-16.8532,1079.78
-66.7643,47.9541,-3201.62
-65.9003,-68.2392,4496.98
-80.9744,-10.1635,822.984
14.8855,-48.0575,-715.359
-80.6493,98.6522,-7956.22
-95.2135,54.0741,-5148.58
66.8274,79.5263,5314.53
7.20941,12.4117,89.4809
-80.9858,-81.9218,6634.51
82.3475,-1.38052,-113.682
88.6419,47.5162,4211.93
-72.4023,21.3705,-1547.28
-26.8128,-18.7639,503.115
-20.9212,53.6014,-1121.41
-12.0267,-69.3549,834.11
60.3136,68.0356,4103.47
29.2124,82.5084,2410.27
49.6967,80.2358,3987.45
-31.7277,73.3584,-2327.49
-82.1643,-66.1492,5435.1
-65.3677,18.9125,-1236.27
13.7451,-46.6442,-641.131
-78.3215,88.4394,-6926.71
-18.6367,16.9272,-315.466
17.9398,-8.47973,-152.125
48.243,12.4032,598.368
-90.8888,38.7113,-3518.42
79.7377,-55.0997,-4393.52
76.269,13.6359,1039.99
-48.4108,-14.8673,719.741
-76.1778,2.25349,-171.666
-34.0811,11.7225,-399.515
-98.7411,73.3479,-7242.45
50.1842,-51.2269,-2570.78
83.5518,-4.6724,-390.388
-38.2968,91.7842,-3515.04
25.9412,58.4883,1517.26
-21.929,-31.4439,689.534
-81.3441,66.1042,-5377.18
5.73675,75.1982,431.393
86.9858,-55.044,-4788.05
93.85,-23.857,-2238.98
-23.3234,-82.8973,1933.45
31.057,-94.7708,-2943.29
-0.665232,-36.366,24.1918
-3.37733,-85.4241,288.506
-85.6315,32.8363,-2811.82
52.2909,35.0351,1832.02
-67.5088,-82.9408,5599.24
73.6836,-62.6595,-4616.98
63.9011,27.6872,1769.24
-8.85281,61.4076,-543.63
44.8476,31.4631,1411.04
35.3536,-17.6946,-625.567
-19.4152,96.9349,-1882.01
-59.0013,55.396,-3268.44
-96.5306,-83.3548,8046.3
-63.3942,-53.072,3364.46
-24.4437,24.7213,-604.28
98.7533,-14.8425,-1465.75
84.1526,69.7117,5866.43
3.9044,94.0744,367.304
35.5325,64.3236,2285.58
23.5784,-68.1113,-1605.95
82.1061,-8.86639,-727.984
-91.5896,95.4613,-8743.26
63.8155,33.1595,2116.09
65.0371,10.5173,684.014
-73.0197,29.5504,-2157.76
-7.31179,92.8276,-678.736
43.3994,22.0013,954.842
87.1064,83.8772,7306.24
-30.0879,-84.3952,2539.28
-83.4853,51.0076,-4258.39
0.911124,-47.5863,-43.357
-66.6895,62.0806,-4140.12
73.2851,-72.4892,-5312.38
-16.6608,57.756,-962.262
98.5423,19.5157,1923.13
44.6901,-8.37275,-374.179
-68.5168,-70.9549,4861.6
-1.29178,88.9797,-114.942
-22.3951,56.493,-1265.16
91.8863,-33.2525,-3055.45
36.1406,21.7778,787.061
-64.2143,-56.8039,3647.62
24.0907,-59.6629,-1437.32
78.0658,14.8412,1158.59
-38.3594,-12.0482,462.163
-3.03849,-15.7496,47.8549
58.4138,-89.0883,-5203.99
8.22434,-14.6876,-120.796
10.7956,69.2192,747.261
36.1485,-89.4374,-3233.03
45.5719,24.4502,1114.24
-24.3557,-54.7052,1332.39
-5.7743,86.761,-500.985
-32.2475,-19.5553,630.611
55.2127,-68.5485,-3784.75
-52.8925,95.9427,-5074.64
7.54671,-86.6099,-653.619
81.4656,64.9821,5293.8
72.5515,80.5385,5843.19
-51.183,-27.8943,1427.71
4.18271,-18.1565,-75.9433
-37.9415,-4.5659,173.237
-56.621,-88.3757,5003.92
-19.8939,-99.1394,1972.27
-91.6193,-99.5957,9124.89
-67.6423,-56.1406,3797.48
